policy,seed,rounds,S,k,top_gap_lambda,transition_dominance,context_noise_level,transition_variant,trust_scale_mult,gate_scale_mult,gate_mode,beta_gate_concentration,trust_floor,trust_cap,support_mask_enabled,avg_reward,cum_reward,oracle_cum_reward,reward_pct_oracle,cum_regret,top1_agreement,top2_agreement,transition_l1_error,off_support_leakage,runtime_seconds,policy_label,experiment_id
oracle,20261640,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,44.18079942821165,44180.79942821165,44180.79942821165,100.0,0.0,1.0,1.0,0.11264991519805383,0.02275575387518249,0.1935367079999999,oracle,context_noise_refinement
state_thompson,20262538,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,41.56152206140055,41561.52206140055,42466.162649377125,97.86973785353351,904.6405879765734,0.672,0.881,0.10336992671269123,0.020737652099303623,0.2325913749999997,state_thompson,context_noise_refinement
global_ucb_tw,20262374,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,40.45534205200115,40455.34205200115,44570.178027760805,90.76773717799219,4114.835975759655,0.68,0.837,0.11244925440655006,0.01502014022446454,4.7822460840000005,global_ucb_tw_dense,context_noise_refinement
local_ucb_tw,20262272,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,42.44854308247244,42448.54308247244,44606.579455432526,95.16206712259515,2158.0363729600867,0.757,0.921,0.11179256366474948,0.013884378860174879,4.903803291,local_ucb_tw_dense,context_noise_refinement
exp4,20261395,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,41.861984020833724,41861.98402083373,42414.245572832675,98.6979338084639,552.2615519989486,0.663,0.841,0.10802671204502613,0.030260919602936944,4.814482582999998,exp4_dense,context_noise_refinement
tw,20261245,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,39.84793972172038,39847.93972172038,42867.25952705049,92.95658309245351,3019.3198053301094,0.69,0.873,0.12962078530574214,0.016636268458177856,4.592683167000001,tw_dense,context_noise_refinement
tm_tw,20261565,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,40.73290135703238,40732.90135703238,44177.53722724929,92.20274355155269,3444.635870216909,0.695,0.883,0.11577665231262406,0.013635624506484863,4.695297,tm_tw_dense,context_noise_refinement
tm_tw_refined,20262393,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,42.02183436864748,42021.834368647484,43801.709320156886,95.9365171379503,1779.8749515094023,0.736,0.909,0.11831449765736368,0.011711613411815891,4.683856375000001,tm_tw_refined_dense,context_noise_refinement
tw,20262069,1000,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,39.5222055494229,39522.2055494229,44045.99740592101,89.72939172018843,4523.791856498108,0.702,0.892,0.06418947159339485,0.011567795834716217,4.640737458000004,tw_gated_offline,context_noise_refinement
tm_tw,20262389,1000,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,39.65364075734514,39653.640757345136,44300.84868022719,89.50988962666027,4647.207922882051,0.685,0.86,0.07403903809559163,0.015195039070136394,4.678123124999999,tm_tw_gated_offline,context_noise_refinement
tm_tw_refined,20263217,1000,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,43.209370105983496,43209.37010598349,44322.05725795387,97.48954082728031,1112.6871519703782,0.805,0.939,0.06889904193616758,0.012983173833314985,4.663320374999998,tm_tw_refined_gated_offline,context_noise_refinement
tw,20263025,1000,8,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,40.89152390723667,40891.52390723667,45726.97586797581,89.42538431865647,4835.451960739141,0.64,0.851,0.06796909976745888,0.01491115368203784,4.990560792000004,tw_gated_offline_low_rank,context_noise_refinement
tm_tw,20263345,1000,8,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,36.26778539119354,36267.78539119354,43597.105331705956,83.18851702481685,7329.319940512418,0.534,0.661,0.06603037693706827,0.01747943149631891,5.082654834000003,tm_tw_gated_offline_low_rank,context_noise_refinement
tm_tw_refined,20264173,1000,8,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,41.613317103430965,41613.31710343096,44651.04006121804,93.19674759283937,3037.722957787075,0.743,0.911,0.06712264617941244,0.012583273117490957,5.090819750000001,tm_tw_refined_gated_offline_low_rank,context_noise_refinement
tw,20262349,1000,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,41.268816670269835,41268.816670269836,44425.37666698702,92.89469165252378,3156.55999671718,0.701,0.902,0.057597996892237525,1.1658308818531603e-07,4.5616109160000065,tw_support_offline,context_noise_refinement
tm_tw,20262669,1000,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,41.08553385320613,41085.53385320613,45018.49714875634,91.26367261316084,3932.9632955502093,0.721,0.896,0.05716823456201196,1.1373437046105059e-07,4.673543834,tm_tw_support_offline,context_noise_refinement
tm_tw_refined,20263497,1000,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,40.96263682381585,40962.63682381585,44283.457771700865,92.50098995203764,3320.8209478850185,0.706,0.885,0.055885101947653955,1.227914309641812e-07,4.780876124999992,tm_tw_refined_support_offline,context_noise_refinement
oracle,20261641,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,43.383888702131884,43383.88870213188,43383.88870213188,100.0,0.0,1.0,1.0,0.10769113017198681,0.02286038089188334,0.19716912499998784,oracle,context_noise_refinement
state_thompson,20262539,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,42.12578269031758,42125.78269031758,43328.76756449705,97.22358852605544,1202.9848741794704,0.72,0.893,0.10683796016697839,0.02156795079773456,0.21822891600000105,state_thompson,context_noise_refinement
global_ucb_tw,20262375,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,42.21681942996712,42216.819429967116,43704.92858803356,96.59509989801496,1488.1091580664433,0.79,0.92,0.10054526942683774,0.01940029235275186,4.753131665999987,global_ucb_tw_dense,context_noise_refinement
local_ucb_tw,20262273,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,42.08195276241817,42081.95276241817,43910.89326822899,95.83488203111979,1828.9405058108168,0.814,0.928,0.10582166739443259,0.02244568190820042,4.830650124999991,local_ucb_tw_dense,context_noise_refinement
exp4,20261396,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,42.361998196828175,42361.99819682817,42833.45960995025,98.89931512090011,471.46141312208056,0.688,0.912,0.11940872756372072,0.025581320462153844,4.759343833000003,exp4_dense,context_noise_refinement
tw,20261246,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,38.62466463760055,38624.66463760055,42003.899704366,91.95494920578957,3379.2350667654464,0.687,0.926,0.10863874652281114,0.019648047292899047,4.672568333000001,tw_dense,context_noise_refinement
tm_tw,20261566,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,41.16195663349556,41161.95663349557,43511.50628433895,94.60016475759411,2349.549650843386,0.771,0.917,0.10947684484635167,0.02395088613675628,4.700213750000003,tm_tw_dense,context_noise_refinement
tm_tw_refined,20262394,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,42.51582548867404,42515.82548867404,43237.757263602834,98.33032094951763,721.9317749287948,0.847,0.971,0.11885036038274356,0.01977105049890557,4.900351999999998,tm_tw_refined_dense,context_noise_refinement
tw,20262070,1000,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,42.8448115858854,42844.8115858854,44010.37222861347,97.35162284773797,1165.5606427280727,0.823,0.959,0.06651776430759089,0.01262946293444476,4.588776166999992,tw_gated_offline,context_noise_refinement
tm_tw,20262390,1000,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,42.68132628882741,42681.326288827404,43783.30338041317,97.48311112569286,1101.9770915857662,0.835,0.947,0.06730935974213072,0.014021526023615553,4.651374707999992,tm_tw_gated_offline,context_noise_refinement
tm_tw_refined,20263218,1000,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,42.17569358381475,42175.69358381475,43303.328115687575,97.39596335676491,1127.6345318728272,0.861,0.933,0.07074571202608138,0.013863410256381662,4.778308916,tm_tw_refined_gated_offline,context_noise_refinement
tw,20263026,1000,8,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,42.66443093870649,42664.430938706486,43381.731825329094,98.34653699508648,717.3008866226082,0.83,0.962,0.07124799456991208,0.012807577979705127,5.047228749999988,tw_gated_offline_low_rank,context_noise_refinement
tm_tw,20263346,1000,8,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,40.61712503602652,40617.12503602652,43303.89219391794,93.7955527280091,2686.7671578914233,0.724,0.927,0.06938729300370795,0.013464523619740553,5.098818250000008,tm_tw_gated_offline_low_rank,context_noise_refinement
tm_tw_refined,20264174,1000,8,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,42.76992335086338,42769.92335086338,43548.07492790456,98.21312060675598,778.1515770411861,0.864,0.964,0.06748125925979613,0.014027663603225653,5.253983958999996,tm_tw_refined_gated_offline_low_rank,context_noise_refinement
tw,20262350,1000,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,40.50323975798864,40503.23975798864,43487.213218978235,93.13827389682592,2983.973460989597,0.734,0.91,0.06663645422115676,1.215495518158258e-07,4.633989291999995,tw_support_offline,context_noise_refinement
tm_tw,20262670,1000,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,39.2386827885705,39238.6827885705,42946.99276357155,91.36537918867626,3708.3099750010515,0.629,0.868,0.055556232090520206,1.3369783488162547e-07,4.662808291999994,tm_tw_support_offline,context_noise_refinement
tm_tw_refined,20263498,1000,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,43.13290738505836,43132.90738505836,44004.40389373562,98.01952433946883,871.4965086772645,0.88,0.965,0.05333728316517263,1.2040234023981415e-07,4.676447207999985,tm_tw_refined_support_offline,context_noise_refinement
oracle,20261642,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,40.34155162689407,40341.55162689407,40341.55162689407,100.0,0.0,1.0,1.0,0.10828296968568323,0.02436805190330207,0.1913575000000094,oracle,context_noise_refinement
state_thompson,20262540,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,38.065292293755554,38065.292293755556,38354.26374616085,99.24657280786882,288.9714524052906,0.537,0.751,0.09404979592902873,0.02420315134182065,0.230149707999999,state_thompson,context_noise_refinement
global_ucb_tw,20262376,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,37.79962329636614,37799.623296366146,40155.10488211185,94.13404200372288,2355.481585745707,0.692,0.855,0.11429062937566652,0.012918712481487009,4.64328066600001,global_ucb_tw_dense,context_noise_refinement
local_ucb_tw,20262274,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,39.03940178352085,39039.40178352085,40656.03400243775,96.02363521532875,1616.6322189169005,0.76,0.914,0.09637269392670735,0.017695774496025798,4.635358666999991,local_ucb_tw_dense,context_noise_refinement
exp4,20261397,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,33.801174876815274,33801.174876815276,39606.440625958145,85.3426219135226,5805.265749142869,0.518,0.654,0.15219794836218492,0.05985852420090559,4.725377334000001,exp4_dense,context_noise_refinement
tw,20261247,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,39.33725845342821,39337.258453428214,40363.41815771804,97.45769870063987,1026.1597042898284,0.795,0.92,0.11074469449324606,0.017940159851147146,4.5566715000000215,tw_dense,context_noise_refinement
tm_tw,20261567,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,39.145991938588764,39145.99193858876,40241.601127711874,97.27742147822087,1095.6091891231117,0.752,0.891,0.10183586597790457,0.016509661559721542,4.699913207999998,tm_tw_dense,context_noise_refinement
tm_tw_refined,20262395,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,39.05183576039136,39051.83576039136,39945.443260549546,97.76293006857,893.6075001581848,0.696,0.849,0.10159194908257299,0.017437486231918948,4.647738750000002,tm_tw_refined_dense,context_noise_refinement
tw,20262071,1000,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,39.232241301670506,39232.2413016705,40841.385316638785,96.06001607807187,1609.1440149682821,0.739,0.896,0.07829531185541633,0.013173227555394677,4.5681735410000215,tw_gated_offline,context_noise_refinement
tm_tw,20262391,1000,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,37.70522344807844,37705.22344807844,40053.64747843724,94.13680356670869,2348.4240303588012,0.695,0.858,0.06900472505635687,0.013678330668694847,4.67962991600001,tm_tw_gated_offline,context_noise_refinement
tm_tw_refined,20263219,1000,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,40.26351889056096,40263.51889056096,40342.38079498409,99.80451846700893,78.86190442313091,0.806,0.938,0.07035172050395627,0.014067316964064519,4.671358999999995,tm_tw_refined_gated_offline,context_noise_refinement
tw,20263027,1000,8,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,38.06447741882848,38064.47741882848,39851.117994112996,95.51671153730632,1786.6405752845167,0.696,0.885,0.07342387792313568,0.012938193249315747,4.992599291000005,tw_gated_offline_low_rank,context_noise_refinement
tm_tw,20263347,1000,8,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,39.22308983264115,39223.08983264115,40102.785016676426,97.80639877337829,879.6951840352776,0.772,0.931,0.06954576262469823,0.014199072288315441,5.091249999999974,tm_tw_gated_offline_low_rank,context_noise_refinement
tm_tw_refined,20264175,1000,8,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,39.396673933094704,39396.6739330947,40691.464054886164,96.8180301400682,1294.7901217914623,0.768,0.898,0.07196033259168641,0.014494437005182985,5.093382749999989,tm_tw_refined_gated_offline_low_rank,context_noise_refinement
tw,20262351,1000,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,37.88733009609529,37887.33009609529,40012.265844798385,94.6892891371226,2124.935748703094,0.741,0.88,0.048935183792742594,1.1834158005242263e-07,4.568267667000015,tw_support_offline,context_noise_refinement
tm_tw,20262671,1000,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,39.53704528272581,39537.04528272581,40562.942615520515,97.47085081445209,1025.8973327947024,0.776,0.933,0.07300805129781027,1.0288083420511963e-07,4.682268958000009,tm_tw_support_offline,context_noise_refinement
tm_tw_refined,20263499,1000,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,39.215308271094734,39215.308271094735,40735.015055516065,96.26928630724652,1519.7067844213307,0.761,0.904,0.06136659412147518,1.1770555356359195e-07,4.674080500000002,tm_tw_refined_support_offline,context_noise_refinement
oracle,20261643,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,50.94679688125427,50946.796881254275,50946.796881254275,100.0,0.0,1.0,1.0,0.1154076401187872,0.023476892653749335,0.20166520800000853,oracle,context_noise_refinement
state_thompson,20262541,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,47.379213186356964,47379.21318635697,48724.113612255474,97.23976420258525,1344.9004258985078,0.689,0.833,0.103966344141658,0.027340344753626324,0.21413641700002017,state_thompson,context_noise_refinement
global_ucb_tw,20262377,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,48.67056755700018,48670.567557000184,50355.495012329375,96.65393527574966,1684.9274553291907,0.812,0.911,0.10210708991527767,0.015531499490309984,4.746301375000002,global_ucb_tw_dense,context_noise_refinement
local_ucb_tw,20262275,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,48.89631067397826,48896.31067397826,50549.1158108397,96.73029862075845,1652.8051368614397,0.817,0.929,0.11364752269737441,0.011573264230548887,4.874592250000006,local_ucb_tw_dense,context_noise_refinement
exp4,20261398,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,43.838901622373,43838.901622373,45793.4387996798,95.73184013138477,1954.5371773068036,0.598,0.783,0.1109688442540183,0.025901176911417054,4.79115975000002,exp4_dense,context_noise_refinement
